"Запрос","URL","Тип","Намерение","Роль","Источник","Частотность_не_суммировать","География","Приоритет","Ограничение_назначения","Доказательство"
"заказать минивэн","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Wordstat · 2026-09-15","5689","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat-previous/wordstat-03.json"
"Заказать минивэн с водителем межгород и аэропорт","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/3a9b13bd995116fc.json"
"на минивэне","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/3a9b13bd995116fc.json"
"Тарифы на минивэн с водителем","https://zakazminivena.ru/tariffs","Доверие и сервис","Принять решение о заказе: Тарифы на минивэн с водителем.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/786c49605da1c4f2.json"
"Минивэн для бизнеса","https://zakazminivena.ru/b2b","Для бизнеса","Принять решение о заказе: Минивэн для бизнеса.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5654ca9618704555.json"
"минивэн с багажом","https://zakazminivena.ru/fleet","Автопарк","Выбор следующего шага и распределение внутренних ссылок.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9c449c6670ccc9cc.json"
"Трансфер в аэропорт на минивэне 7 мест","https://zakazminivena.ru/services/airport","Услуги","Принять решение о заказе: Трансфер в аэропорт на минивэне 7 мест.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/26e0561f8007f938.json"
"минивэн детское кресло","https://zakazminivena.ru/services/children","Услуги","Принять решение о заказе: Детские перевозки на минивэне — с детским креслом.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c64c0d01bf4f2da2.json"
"минивэн с коляской","https://zakazminivena.ru/services/children","Услуги","Принять решение о заказе: Детские перевозки на минивэне — с детским креслом.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c64c0d01bf4f2da2.json"
"минивэн для группы","https://zakazminivena.ru/services/group-transfer","Услуги","Принять решение о заказе: Групповой трансфер на минивэне.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d1207cc373b0c6bf.json"
