Кампания;Группа;Ключевая фраза;Частотность;Минус-слова группы;Посадочная страница;URL с UTM
AIRPORT_MOSCOW;airport_dme;минивэн домодедово;79;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_dme;минивэн аэропорт домодедово;34;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_dme;заказать минивэн домодедово;28;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_dme;минивэн в аэропорт домодедово;26;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_dme;такси минивэн домодедово;22;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_dme;заказать минивэн в аэропорт домодедово;13;;https://zakazminivena.ru/airport/dme;https://zakazminivena.ru/airport/dme?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_dme&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_ikt;трансфер иркутск аэропорт;37;;https://zakazminivena.ru/airport/ikt;https://zakazminivena.ru/airport/ikt?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_ikt&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_krr;поездка в краснодар аэропорт на минивэне;6;;https://zakazminivena.ru/airport/krr;https://zakazminivena.ru/airport/krr?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_krr&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_led;заказать минивэн в пулково;6;;https://zakazminivena.ru/airport/led;https://zakazminivena.ru/airport/led?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_led&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mmk;трансфер мурманск аэропорт;129;;https://zakazminivena.ru/airport/mmk;https://zakazminivena.ru/airport/mmk?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mmk&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mrv;минивэн минеральные воды;132;;https://zakazminivena.ru/airport/mrv;https://zakazminivena.ru/airport/mrv?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mrv&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mrv;аренда минивэна минеральные воды;36;;https://zakazminivena.ru/airport/mrv;https://zakazminivena.ru/airport/mrv?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mrv&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mrv;такси минивэн минеральные воды;18;;https://zakazminivena.ru/airport/mrv;https://zakazminivena.ru/airport/mrv?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mrv&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mrv;трансфер минеральные воды минивэн;16;;https://zakazminivena.ru/airport/mrv;https://zakazminivena.ru/airport/mrv?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mrv&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_mrv;заказать минивэн в минводах;9;;https://zakazminivena.ru/airport/mrv;https://zakazminivena.ru/airport/mrv?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_mrv&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;минивэн в аэропорт шереметьево;108;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;трансфер минивэн шереметьево;72;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;трансфер в аэропорт шереметьево минивэн;47;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;заказать минивэн шереметьево;28;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;такси в аэропорт шереметьево минивэн;21;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;заказать минивэн в аэропорт шереметьево;17;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;трансфер в аэропорт шереметьево минивэн москва;9;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;заказать такси минивэн шереметьево;9;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;заказать такси минивэн в аэропорт шереметьево;7;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_svo;минивэн в аэропорт шереметьево с детским креслом;5;;https://zakazminivena.ru/airport/svo;https://zakazminivena.ru/airport/svo?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_svo&utm_term={keyword}&yclid={yclid}
AIRPORT_REGIONS;airport_svx;минивэн челябинск кольцово;8;;https://zakazminivena.ru/airport/svx;https://zakazminivena.ru/airport/svx?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_regions&utm_content=airport_svx&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;минивэн внуково;75;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;такси минивэн внуково;35;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;минивэн аэропорт внуково;31;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;минивэн в аэропорт внуково;19;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;заказать минивэн в аэропорт внуково;9;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
AIRPORT_MOSCOW;airport_vko;такси минивэн в аэропорт внуково;8;;https://zakazminivena.ru/airport/vko;https://zakazminivena.ru/airport/vko?utm_source=yandex&utm_medium=cpc&utm_campaign=airport_moscow&utm_content=airport_vko&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;аренда минивэна екатеринбург;248;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;заказать такси минивэн екатеринбург;137;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
CITIES;city_ekaterinburg;минивэн аренда водитель екатеринбург;118;;https://zakazminivena.ru/cities/ekaterinburg;https://zakazminivena.ru/cities/ekaterinburg?utm_source=yandex&utm_medium=cpc&utm_campaign=cities&utm_content=city_ekaterinburg&utm_term={keyword}&yclid={yclid}
