Тип;Слово / фраза;Источник
Сквозной (все кампании);купить;стандартный набор
Сквозной (все кампании);продажа;стандартный набор
Сквозной (все кампании);продам;стандартный набор
Сквозной (все кампании);цена авто;стандартный набор
Сквозной (все кампании);стоимость авто;стандартный набор
Сквозной (все кампании);стоит купить;стандартный набор
Сквозной (все кампании);тойота новый;стандартный набор
Сквозной (все кампании);соллерс;стандартный набор
Сквозной (все кампании);sf1;стандартный набор
Сквозной (все кампании);китайский;стандартный набор
Сквозной (все кампании);хорошее качество;стандартный набор
Сквозной (все кампании);комплектация;стандартный набор
Сквозной (все кампании);отзывы;стандартный набор
Сквозной (все кампании);форум;стандартный набор
Сквозной (все кампании);лизинг;стандартный набор
Сквозной (все кампании);хочу купить;стандартный набор
Сквозной (все кампании);ремонт;стандартный набор
Сквозной (все кампании);запчасти;стандартный набор
Сквозной (все кампании);обзор;стандартный набор
Сквозной (все кампании);цвета;стандартный набор
Сквозной (все кампании);авито;стандартный набор
Сквозной (все кампании);дром;стандартный набор
Сквозной (все кампании);юла;стандартный набор
Сквозной (все кампании);porn;стандартный набор
Сквозной (все кампании);porno;стандартный набор
Сквозной (все кампании);секс;стандартный набор
Сквозной (все кампании);взрослые;стандартный набор
Сквозной (все кампании);вакансии;стандартный набор
Сквозной (все кампании);работа водитель;стандартный набор
Сквозной (все кампании);устройство;стандартный набор
Сквозной (все кампании);куплю;стандартный набор
Сквозной (все кампании);продаётся;стандартный набор
Кандидат из Wordstat;купить минивэн бу в крыму;маркер: купить, freq=101
Кандидат из Wordstat;купить минивэн в крыму бу недорого;маркер: купить, freq=53
Кандидат из Wordstat;купить минивэн в крыму с пробегом;маркер: купить, freq=51
Кандидат из Wordstat;купить б у минивэн в крыму;маркер: купить, freq=41
Кандидат из Wordstat;купить мазду минивэн б у в крыму;маркер: купить, freq=39
Кандидат из Wordstat;купить минивэн севастополь;маркер: купить, freq=27
Кандидат из Wordstat;купить минивэн в симферополе;маркер: купить, freq=19
Кандидат из Wordstat;купить минивэн в пятигорске;маркер: купить, freq=14
Кандидат из Wordstat;купить авто в крыму шевроле минивэн;маркер: купить, freq=10
Кандидат из Wordstat;купить минивэн в петрозаводске;маркер: купить, freq=9
Кандидат из Wordstat;купить авто в крыму форд минивэн;маркер: купить, freq=9
Кандидат из Wordstat;купить минивэн кроссовер в симферополе;маркер: купить, freq=6
Кандидат из Wordstat;купить минивэн машину в ессентуках тойота сильнее;маркер: купить, freq=6
Кандидат из Wordstat;купить мазда минивэн с пробегом в крыму;маркер: купить, freq=5
Кандидат из Wordstat;цена поездки на минивэне межгород;маркер: цена, freq=5
Кандидат из Wordstat;продажа минивэнов в крыму;маркер: продажа, freq=4
Кандидат из Wordstat;phrase;маркер: matched_marker, freq=count
